"lon","lat","id.sample"
-77.75,82.25,"-9999"
-77.25,82.25,"-9999"
-76.75,82.25,"-9999"
-76.25,82.25,"-9999"
-75.75,82.25,"-9999"
-75.25,82.25,"-9999"
-74.75,82.25,"-9999"
-74.25,82.25,"-9999"
-73.75,82.25,"-9999"
-73.25,82.25,"-9999"
-72.75,82.25,"-9999"
-72.25,82.25,"-9999"
-71.75,82.25,"-9999"
-71.25,82.25,"-9999"
-70.75,82.25,"-9999"
-70.25,82.25,"-9999"
-69.75,82.25,"-9999"
-69.25,82.25,"-9999"
-68.75,82.25,"-9999"
-68.25,82.25,"51110"
-67.75,82.25,"51110"
-67.25,82.25,"51110"
-66.75,82.25,"51110"
-66.25,82.25,"51110"
-65.75,82.25,"51110"
-65.25,82.25,"51110"
-64.75,82.25,"51110"
-64.25,82.25,"51110"
-63.75,82.25,"51110"
-63.25,82.25,"51110"
-62.75,82.25,"51110"
-62.25,82.25,"51110"
-61.75,82.25,"51110"
-61.25,82.25,"51110"
-59.25,82.25,"51112"
-58.75,82.25,"51112"
-58.25,82.25,"51112"
-57.75,82.25,"51112"
-57.25,82.25,"51112"
-56.75,82.25,"51112"
-56.25,82.25,"51112"
-55.75,82.25,"51112"
-55.25,82.25,"51112"
-54.75,82.25,"51112"
-54.25,82.25,"51112"
-53.75,82.25,"51112"
-53.25,82.25,"51112"
-52.75,82.25,"51112"
-52.25,82.25,"51112"
-51.75,82.25,"51112"
-51.25,82.25,"51112"
-50.75,82.25,"51112"
-50.25,82.25,"51112"
-49.75,82.25,"51112"
-49.25,82.25,"51112"
-48.75,82.25,"51112"
-48.25,82.25,"51112"
-47.75,82.25,"51112"
-47.25,82.25,"51112"
-46.75,82.25,"51112"
-46.25,82.25,"51112"
-45.75,82.25,"51112"
-45.25,82.25,"51112"
-44.75,82.25,"51112"
-44.25,82.25,"51112"
-43.75,82.25,"51112"
-43.25,82.25,"51112"
-42.75,82.25,"51112"
-42.25,82.25,"51112"
-41.75,82.25,"-9999.1"
-41.25,82.25,"-9999.1"
-40.75,82.25,"-9999.1"
-40.25,82.25,"-9999.1"
-39.75,82.25,"51112"
-39.25,82.25,"51112"
-38.75,82.25,"51112"
-38.25,82.25,"51112"
-37.75,82.25,"51112"
-37.25,82.25,"51112"
-36.75,82.25,"51112"
-36.25,82.25,"51112"
-35.75,82.25,"51112"
-35.25,82.25,"51112"
-34.75,82.25,"51112"
-34.25,82.25,"51112"
-33.75,82.25,"51112"
-33.25,82.25,"51112"
-32.75,82.25,"51112"
-32.25,82.25,"51112"
-31.75,82.25,"51112"
-31.25,82.25,"51112"
-30.75,82.25,"51112"
-30.25,82.25,"51112"
-29.75,82.25,"51112"
-29.25,82.25,"51112"
-28.75,82.25,"51112"
-28.25,82.25,"51112"
-27.75,82.25,"51112"
-27.25,82.25,"51112"
-26.75,82.25,"51112"
-26.25,82.25,"51112"
-25.75,82.25,"51112"
-25.25,82.25,"51112"
-24.75,82.25,"51112"
-24.25,82.25,"51112"
-23.75,82.25,"51112"
-23.25,82.25,"51112"
-22.75,82.25,"51112"
-22.25,82.25,"51112"
-21.75,82.25,"51112"
-20.75,82.25,"51112"
-20.25,82.25,"51112"
-19.25,82.25,"51112"
-18.75,82.25,"51112"
-91.75,81.75,"51110"
-91.25,81.75,"51110"
-90.75,81.75,"51110"
-90.25,81.75,"51110"
-89.75,81.75,"51110"
-89.25,81.75,"51110"
-88.75,81.75,"51110"
-88.25,81.75,"51110"
-87.75,81.75,"51110"
-87.25,81.75,"51110"
-86.75,81.75,"51110"
-86.25,81.75,"51110"
-85.75,81.75,"51110"
-85.25,81.75,"51110"
-84.75,81.75,"51110"
-84.25,81.75,"51110"
-83.75,81.75,"51110"
-83.25,81.75,"-9999"
-82.75,81.75,"-9999"
-82.25,81.75,"51110"
-81.75,81.75,"-9999"
-81.25,81.75,"-9999"
-80.75,81.75,"-9999"
-80.25,81.75,"-9999"
-79.75,81.75,"-9999"
-79.25,81.75,"-9999"
-78.75,81.75,"-9999"
-78.25,81.75,"-9999"
-77.75,81.75,"-9999"
-77.25,81.75,"-9999"
-76.75,81.75,"-9999"
-76.25,81.75,"-9999"
-75.75,81.75,"-9999"
-75.25,81.75,"-9999"
-74.75,81.75,"-9999"
-74.25,81.75,"-9999"
-73.75,81.75,"-9999"
-73.25,81.75,"51110"
-72.75,81.75,"51110"
-72.25,81.75,"51110"
-71.75,81.75,"51110"
-71.25,81.75,"51110"
-70.75,81.75,"51110"
-70.25,81.75,"51110"
-69.75,81.75,"51110"
-69.25,81.75,"51110"
-68.75,81.75,"51110"
-68.25,81.75,"51110"
-67.75,81.75,"51110"
-67.25,81.75,"51110"
-66.75,81.75,"51110"
-66.25,81.75,"51110"
-65.75,81.75,"51110"
-65.25,81.75,"51110"
-64.75,81.75,"51110"
-64.25,81.75,"51110"
-63.75,81.75,"51110"
-63.25,81.75,"51110"
-62.75,81.75,"51110"
-61.25,81.75,"51112"
-60.75,81.75,"51112"
-60.25,81.75,"51112"
-59.75,81.75,"51112"
-59.25,81.75,"51112"
-58.75,81.75,"51112"
-58.25,81.75,"51112"
-57.75,81.75,"51112"
-57.25,81.75,"51112"
-56.75,81.75,"51112"
-56.25,81.75,"51112"
-55.75,81.75,"51112"
-55.25,81.75,"51112"
-54.75,81.75,"51112"
-54.25,81.75,"51112"
-53.75,81.75,"51112"
-53.25,81.75,"51112"
-52.75,81.75,"51112"
-52.25,81.75,"51112"
-51.75,81.75,"51112"
-51.25,81.75,"51112"
-50.75,81.75,"51112"
-50.25,81.75,"51112"
-49.75,81.75,"-9999.99"
-49.25,81.75,"51112"
-48.75,81.75,"51112"
-48.25,81.75,"51112"
-47.75,81.75,"51112"
-47.25,81.75,"51112"
-46.75,81.75,"51112"
-46.25,81.75,"51112"
