"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"4090","Lynx_rufus",4562,-99.42,38.91,5,3,8,0.5
"3975","Crocidura_sibirica",3084,95.67,48.18,3,8,8,0.2
"4162","Procyon_lotor",5562,-98.12,38.91,6,3,8,0.333333333333333
"1421","Laephotis_botswanae",189,28.35,-18.03,1,6,3,0.0135135135135135
"1813","Atelerix_algirus",374,4.57,33.81,1,6,7,0.0294117647058824
"4027","Sturnira_tildae",3719,-57.23,-6.97,4,4,4,0.0333333333333333
"3839","Ovis_nivicola",1381,134.23,63.81,2,9,10,0.333333333333333
"4243","Sorex_minutissimus",11972,100.42,59.87,12,8,9,0.5
"3821","Arctonyx_albogularis",1662,108.53,32.59,2,9,7,0.166666666666667
"3558","Choeroniscus_minor",1899,-61.15,-2.45,2,4,5,0.0666666666666667
"366","Lenoxus_apicalis",25,-68.61,-14.95,1,3,4,0.0075187969924812
"3450","Lepus_californicus",1966,-107.43,35.04,2,2,7,0.142857142857143
"3982","Macropus_robustus",2493,134.19,-24.51,3,9,3,0.166666666666667
"4079","Prionailurus_bengalensis",4107,104.16,24.28,4,8,7,0.5
"4247","Myodes_rutilus",13737,50.08,61.25,14,7,9,1
"4259","Canis_lupus",31499,32.64,54.26,30,6,9,1
"3725","Maxomys_surifer",1187,105.63,7.41,2,8,5,0.125
"1","Dicrostonyx_nelsoni",330,-161.3,61.32,1,1,9,0.5
"1873","Plecotus_sardus",22,9,40,1,6,8,0.0217391304347826
"3219","Dasyurus_viverrinus",45,146.63,-42.04,1,10,1,0.142857142857143
"3849","Didelphis_virginiana",2706,-94.05,32.46,3,3,7,1
"3573","Aethomys_chrysophilus",1564,28.5,-16.2,2,6,3,0.0714285714285714
"4217","Neomys_fodiens",8062,53.56,54.41,8,7,9,0.5
"2206","Nesolagus_netscheri",18,102.56,-3.22,1,8,4,0.2
"3796","Talpa_altaica",2065,92,57.18,2,8,9,0.333333333333333
"4168","Lontra_longicaudis",5436,-62.23,-6.41,6,4,4,0.1
"3948","Castor_fiber",2594,36.35,57.05,3,6,9,0.2
"1891","Lemmus_lemmus",737,20.62,65.78,1,6,10,1
"4076","Suncus_murinus",3534,97.03,16.39,4,8,6,0.333333333333333
"4248","Microtus_oeconomus",14186,44.12,61.53,14,7,10,1
"2129","Nesokia_bunnii",25,46.37,31.69,1,7,7,0.032258064516129
"1911","Eliurus_webbi",80,48.34,-18.76,1,7,3,0.0099009900990099
"3833","Ochotona_dauurica",1127,106.47,45.17,2,9,8,0.111111111111111
"3460","Myotis_evotis",1563,-115.07,43.69,2,2,8,0.0833333333333333
"3217","Marmota_camtschatica",1029,138.79,61.85,1,9,10,1
"4219","Sorex_isodon",8030,96.07,58.16,8,8,9,0.5
"3898","Thyroptera_discifera",2179,-66.27,-0.69,3,4,5,0.111111111111111
"4077","Viverricula_indica",3380,94.84,21.84,4,8,6,0.333333333333333
"3955","Myotis_nipalensis",2312,70.5,39.08,3,7,8,0.5
"4134","Neoromicia_capensis",4881,24,-6.2,5,6,4,0.166666666666667
"1552","Tadarida_lobata",96,33.85,-7.82,1,6,4,0.0104166666666667
"3499","Reithrodontomys_fulvescens",1118,-99.04,26.88,2,3,7,0.2
"4254","Ursus_arctos",18203,46.78,57.97,18,7,9,1
"2751","Echymipera_rufescens",401,140.73,-6.03,1,9,4,0.00900900900900901
"3720","Sicista_subtilis",1767,59.17,50.48,2,7,9,1
"4202","Orycteropus_afer",6753,22.19,-2.2,7,6,5,0.5
"4215","Ondatra_zibethicus",8257,-105.39,50.72,8,2,9,0.5
"3423","Pteropus_neohibernicus",393,141.71,-5.21,1,10,4,0.0072992700729927
"4228","Vespertilio_murinus",8545,68.29,49.93,9,7,9,0.25
"4220","Canis_latrans",9182,-111.2,48.3,9,2,8,1
"4244","Rattus_norvegicus",12913,63.27,47.24,13,7,8,0.5
"1890","Spalax_zemni",114,29.87,49.16,1,6,9,0.5
"4210","Capreolus_pygargus",6524,98.38,49.64,7,8,9,1
"2100","Pipistrellus_ariel",208,40.57,21.09,1,7,6,0.0434782608695652
"1889","Sicista_severtzovi",227,36.03,50.38,1,6,9,0.5
"2416","Rucervus_eldii",77,99.93,18.25,1,8,6,0.00666666666666667
"4201","Caracal_caracal",6864,30.2,6.35,7,6,5,0.5
"3464","Peromyscus_boylii",1200,-109.13,36.31,2,2,8,0.0833333333333333
"59","Dipodomys_ingens",12,-120,35.75,1,2,7,0.01
"2467","Chodsigoa_lamula",25,102.33,30.65,1,8,7,0.00628930817610063
"4146","Panthera_pardus",4561,41.08,2.84,5,7,5,1
"3899","Gerbillus_tarabuli",2377,2.14,23.77,3,5,7,1
"3953","Hystrix_indica",3014,63.65,30.01,3,7,7,1
"3120","Elaphodus_cephalophus",793,108.63,28.22,1,9,7,0.0185185185185185
"4156","Tamiasciurus_hudsonicus",6304,-106.04,53.4,6,2,9,0.333333333333333
"1174","Necromys_urichi",182,-65.86,6.06,1,4,5,0.0161290322580645
"3445","Sorex_camtschatica",388,159.5,58.95,1,10,9,0.5
"3850","Blarina_brevicauda",2137,-88.45,44.54,3,3,8,0.25
"3992","Odocoileus_hemionus",3199,-114.38,45.04,4,2,8,0.5
"4160","Eptesicus_fuscus",6003,-98.78,38.63,6,3,8,0.333333333333333
"4072","Erinaceus_roumanicus",3470,42.9,51.56,4,7,9,0.2
"3630","Atherurus_africanus",1322,14.1,1.71,2,6,5,0.0178571428571429
"3188","Myospalax_aspalax",431,116.85,44.79,1,9,8,0.0204081632653061
"3855","Ovibos_moschatus",2697,-85.12,74.17,3,3,10,1
"1854","Marmota_marmota",126,10.55,46.62,1,6,8,0.0217391304347826
"3463","Onychomys_leucogaster",1858,-106.23,40.76,2,2,8,0.0833333333333333
"4132","Genetta_maculata",4522,25.05,-4.02,5,6,4,0.166666666666667
"5","Marmota_broweri",245,-150.88,68.56,1,1,10,0.142857142857143
"1975","Phaner_pallescens",49,44.77,-19.69,1,7,3,0.0099009900990099
"3806","Pseudomys_desertor",1348,132.84,-23.42,2,9,3,0.1
"3896","Micronycteris_schmidtorum",2450,-63.41,-0.72,3,4,5,0.111111111111111
"4078","Felis_chaus",3243,73.02,27.16,4,8,7,0.5
"224","Myotis_keenii",119,-126.79,50.94,1,2,9,0.166666666666667
"588","Rhipidomys_fulviventer",45,-73.41,5.01,1,3,5,0.00581395348837209
"870","Thylamys_fenestrae",74,-63.68,-37.3,1,4,2,0.0204081632653061
"2803","Pseudantechinus_bilarni",79,133.36,-14.22,1,9,4,0.00900900900900901
"1802","Gerbillus_rosalinda",80,28.6,12.2,1,6,6,0.0555555555555556
"3141","Murina_puta",23,121.01,23.75,1,9,7,0.0185185185185185
"3993","Taxidea_taxus",4169,-105.84,41.58,4,2,8,0.5
"2140","Apodemus_ponticus",194,44.66,41.83,1,7,8,0.0161290322580645
"1424","Macroscelides_flavicaudatus",43,14.48,-21.56,1,6,3,0.0135135135135135
"3443","Myodes_rex",77,142.87,46,1,10,8,1
"3554","Rhipidomys_leucodactylus",1573,-66.44,-2.78,2,4,4,0.0357142857142857
"4229","Meles_leucurus",8458,89.66,48.35,9,8,8,1
"4092","Myodes_gapperi",4763,-95.33,50.66,5,3,9,0.5
"2225","Dyacopterus_brooksi",187,101.36,-0.28,1,8,5,0.0136986301369863
"2653","Phascogale_calura",29,118.27,-33.18,1,9,2,0.0333333333333333
"3805","Notomys_alexis",1165,127.57,-25.11,2,9,3,0.1
"3475","Neacomys_spinosus",1123,-67.43,-9.95,2,3,4,0.2
"4250","Lynx_lynx",13886,89.64,55.94,14,8,9,0.5
"2243","Loris_tardigradus",13,80.52,6.75,1,8,5,0.0136986301369863
"4192","Microtus_pennsylvanicus",7240,-103.94,53.74,7,2,9,0.2
"3078","Crocidura_tanakae",74,111.89,21.57,1,9,6,0.0238095238095238
"3998","Urocyon_cinereoargenteus",4018,-95.87,32.49,4,3,7,0.5
"3901","Tragelaphus_oryx",2532,27.51,-16.06,3,6,3,0.5
"293","Akodon_lutescens",77,-67.08,-17.75,1,3,3,0.0285714285714286
"1806","Mastomys_kollmannspergeri",622,20.09,13.78,1,6,6,0.0555555555555556
"3507","Scalopus_aquaticus",1593,-89.82,36.92,2,3,8,0.0833333333333333
"404","Phyllotis_amicus",67,-77.7,-10.32,1,3,4,0.0075187969924812
"4216","Microtus_agrestis",7463,50.49,58.01,8,7,9,0.5
