"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"4154","Lepus_americanus",6106,-109.11,54.88,6,2,9,0.333333333333333
"3173","Lasiopodomys_brandtii",531,111.36,46.45,1,9,8,0.0204081632653061
"3495","Pteronotus_davyi",1499,-77.87,10.87,2,3,6,0.25
"3843","Myotis_volans",2311,-114.64,41.86,3,2,8,0.5
"4233","Arvicola_amphibius",10050,55.4,55.7,10,7,9,1
"2087","Dendromus_lovati",42,38.57,10.33,1,7,6,0.0434782608695652
"3935","Erythrocebus_patas",2568,12.46,10.8,3,6,6,0.2
"3922","Lavia_frons",2786,21.25,4.62,3,6,5,0.05
"3469","Microtus_xanthognathus",1762,-123.65,62.57,2,2,10,0.5
"3939","Meriones_crassus",3145,27.79,28.36,3,6,7,1
"4032","Platyrrhinus_helleri",3578,-65.78,-2.47,4,4,5,0.5
"4183","Meles_meles",5621,26.18,49.58,6,6,9,0.333333333333333
"3688","Ictonyx_libycus",2098,7.65,21.86,2,6,6,0.166666666666667
"1374","Otomys_saundersiae",119,23.34,-32.37,1,6,2,0.0227272727272727
"3497","Nycticeius_humeralis",1286,-88.81,35.14,2,3,7,0.2
"2338","Hylopetes_phayrei",485,100.85,19.76,1,8,6,0.00666666666666667
"3943","Glis_glis",2165,22.71,47.17,3,6,8,0.125
"4045","Kobus_ellipsiprymnus",3320,22.92,-0.92,4,6,5,0.111111111111111
"4197","Lasiurus_blossevillii",7041,-72.84,2.85,7,3,5,0.5
"3470","Sorex_ugyunak",1400,-113.35,66.59,2,2,10,0.5
"821","Dicrostonyx_richardsoni",334,-100.23,61.37,1,3,9,0.5
"4180","Nycteris_thebaica",5437,23.17,-0.82,6,6,5,0.142857142857143
"1209","Stenoderma_rufum",13,-66.21,18.13,1,4,6,0.111111111111111
"810","Myotis_leibii",727,-81.22,40.38,1,3,8,0.0714285714285714
"3685","Desmodilliscus_braueri",1274,9.58,16.04,2,6,6,0.166666666666667
"3845","Microtus_longicaudus",2294,-121.94,50.52,3,2,9,0.333333333333333
"4256","Vulpes_vulpes",26128,77.49,48.59,25,8,8,1
"112","Peromyscus_polius",24,-107.54,29.33,1,2,7,0.01
"2257","Paradoxurus_zeylonensis",19,80.54,7.01,1,8,5,0.0136986301369863
"529","Lonchophylla_concava",122,-79.42,3.77,1,3,5,0.00581395348837209
"3701","Microtus_subterraneus",1771,22.14,49.5,2,6,9,0.333333333333333
"4186","Crocidura_suaveolens",6268,56.34,44.95,6,7,8,0.25
"4074","Myotis_dasycneme",3492,49.68,55.18,4,7,9,0.2
"3990","Nyctereutes_procyonoides",3015,120.23,39.2,3,9,8,0.5
"4249","Lepus_timidus",14369,90.47,60.81,14,8,9,0.5
"3694","Myotis_myotis",2055,15.06,44.6,2,6,8,0.142857142857143
"3895","Micronycteris_hirsuta",2352,-66.32,-0.45,3,4,5,0.111111111111111
"3501","Condylura_cristata",1958,-79.01,46.74,2,3,8,0.0833333333333333
"3963","Muntiacus_vaginalis",2318,92.38,21.04,3,8,6,0.0769230769230769
"4235","Pteromys_volans",9517,100.82,59.68,10,8,9,0.5
"286","Thylamys_pallidior",674,-67.69,-30.36,1,3,2,0.0344827586206897
"3988","Ursus_thibetanus",2155,106.7,30.24,3,9,7,0.5
"2412","Rhinolophus_yunanensis",197,98.25,21.46,1,8,6,0.00666666666666667
"774","Tylomys_nudicaudus",231,-91.35,15.76,1,3,6,0.00675675675675676
"3305","Xeromys_myoides",38,145.67,-19.89,1,10,3,0.0263157894736842
"1816","Crocidura_religiosa",16,31,30.5,1,6,7,0.0294117647058824
"2275","Suncus_montanus",14,77.82,9.89,1,8,5,0.0136986301369863
"3008","Rattus_hoffmanni",107,121.28,-1.83,1,9,5,0.00440528634361234
"4234","Micromys_minutus",10067,73.28,48.86,10,8,9,0.5
"4019","Molossops_temminckii",4100,-57.75,-12.19,4,4,4,0.0333333333333333
