"x","y","species","presence","group"
-1.75,6.75,"Afrixalus vibekensis",1,"Amphibians"
-7.25,5.75,"Afrixalus vibekensis",1,"Amphibians"
-7.25,5.25,"Afrixalus vibekensis",1,"Amphibians"
-84.25,10.25,"Agalychnis annae",1,"Amphibians"
-83.75,10.25,"Agalychnis annae",1,"Amphibians"
-83.25,10.25,"Agalychnis annae",1,"Amphibians"
-84.25,9.75,"Agalychnis annae",1,"Amphibians"
-83.75,9.75,"Agalychnis annae",1,"Amphibians"
-76.25,6.75,"Agalychnis danieli",1,"Amphibians"
-77.75,7.75,"Agalychnis litodryas",1,"Amphibians"
-77.25,7.75,"Agalychnis litodryas",1,"Amphibians"
-78.75,0.75,"Agalychnis litodryas",1,"Amphibians"
-79.25,0.25,"Agalychnis litodryas",1,"Amphibians"
-78.75,0.25,"Agalychnis litodryas",1,"Amphibians"
-79.25,-0.25,"Agalychnis litodryas",1,"Amphibians"
-79.25,-0.75,"Agalychnis litodryas",1,"Amphibians"
-68.25,10.25,"Agalychnis medinae",1,"Amphibians"
-67.75,10.25,"Agalychnis medinae",1,"Amphibians"
-76.75,3.75,"Agalychnis psilopygion",1,"Amphibians"
-79.25,0.25,"Agalychnis psilopygion",1,"Amphibians"
-79.25,-0.25,"Agalychnis psilopygion",1,"Amphibians"
46.75,-24.75,"Aglyptodactylus australis",1,"Amphibians"
46.75,-25.25,"Aglyptodactylus australis",1,"Amphibians"
49.75,-15.25,"Aglyptodactylus chorus",1,"Amphibians"
49.25,-15.75,"Aglyptodactylus chorus",1,"Amphibians"
49.75,-15.75,"Aglyptodactylus chorus",1,"Amphibians"
49.25,-16.25,"Aglyptodactylus chorus",1,"Amphibians"
49.75,-16.25,"Aglyptodactylus chorus",1,"Amphibians"
49.25,-16.75,"Aglyptodactylus chorus",1,"Amphibians"
49.75,-16.75,"Aglyptodactylus chorus",1,"Amphibians"
45.75,-15.75,"Aglyptodactylus laticeps",1,"Amphibians"
45.75,-16.25,"Aglyptodactylus laticeps",1,"Amphibians"
44.75,-18.25,"Aglyptodactylus laticeps",1,"Amphibians"
44.75,-18.75,"Aglyptodactylus laticeps",1,"Amphibians"
44.75,-19.25,"Aglyptodactylus laticeps",1,"Amphibians"
44.75,-19.75,"Aglyptodactylus laticeps",1,"Amphibians"
117.75,9.25,"Alcalus mariae",1,"Amphibians"
117.75,8.75,"Alcalus mariae",1,"Amphibians"
9.25,4.75,"Alexteroon jynx",1,"Amphibians"
-71.25,-12.75,"Allobates alessandroi",1,"Amphibians"
-71.25,-13.25,"Allobates alessandroi",1,"Amphibians"
-70.75,-13.25,"Allobates alessandroi",1,"Amphibians"
-70.25,-13.25,"Allobates alessandroi",1,"Amphibians"
-71.75,8.25,"Allobates algorei",1,"Amphibians"
-72.25,7.75,"Allobates algorei",1,"Amphibians"
-71.75,7.75,"Allobates algorei",1,"Amphibians"
-72.25,7.25,"Allobates algorei",1,"Amphibians"
-67.75,10.25,"Allobates bromelicola",1,"Amphibians"
-59.75,-3.25,"Allobates caeruleodactylus",1,"Amphibians"
-59.25,-3.25,"Allobates caeruleodactylus",1,"Amphibians"
-59.75,-3.75,"Allobates caeruleodactylus",1,"Amphibians"
-59.25,-3.75,"Allobates caeruleodactylus",1,"Amphibians"
-62.25,10.75,"Allobates caribe",1,"Amphibians"
-73.75,4.25,"Allobates cepedai",1,"Amphibians"
-61.25,14.75,"Allobates chalcopis",1,"Amphibians"
-78.25,-1.25,"Allobates fratisenescus",1,"Amphibians"
-70.25,9.25,"Allobates humilis",1,"Amphibians"
-70.75,8.75,"Allobates humilis",1,"Amphibians"
-70.25,8.75,"Allobates humilis",1,"Amphibians"
-72.25,7.25,"Allobates juanii",1,"Amphibians"
-72.25,6.75,"Allobates juanii",1,"Amphibians"
-73.75,4.25,"Allobates juanii",1,"Amphibians"
-73.75,3.75,"Allobates juanii",1,"Amphibians"
-77.75,-0.25,"Allobates kingsburyi",1,"Amphibians"
-77.25,-0.25,"Allobates kingsburyi",1,"Amphibians"
-78.25,-0.75,"Allobates kingsburyi",1,"Amphibians"
-77.75,-0.75,"Allobates kingsburyi",1,"Amphibians"
-77.25,-0.75,"Allobates kingsburyi",1,"Amphibians"
-78.25,-1.25,"Allobates kingsburyi",1,"Amphibians"
-77.75,-1.25,"Allobates kingsburyi",1,"Amphibians"
-64.25,10.25,"Allobates mandelorum",1,"Amphibians"
-63.75,10.25,"Allobates mandelorum",1,"Amphibians"
-64.25,9.75,"Allobates mandelorum",1,"Amphibians"
-55.75,-3.25,"Allobates masniger",1,"Amphibians"
-55.25,-3.25,"Allobates masniger",1,"Amphibians"
-56.25,-3.75,"Allobates masniger",1,"Amphibians"
-55.75,-3.75,"Allobates masniger",1,"Amphibians"
-55.25,-3.75,"Allobates masniger",1,"Amphibians"
-56.25,-4.25,"Allobates masniger",1,"Amphibians"
-55.75,-4.25,"Allobates masniger",1,"Amphibians"
