"x","y","biofuel_cropland_irrigated","biofuel_cropland_rainfed","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
31.75,-2.75,0,0.000510858382525233,0.0416603329281012,0.428339888652166,0.470511076847712,0.29937532544136
32.25,-2.75,0,2.52900030204728e-05,0.0528461283693711,0.544482477506002,0.597353897492091,0.370506405830383
32.75,-2.75,0,2.1261136060365e-05,0.0502026308327913,0.51734237074852,0.567566273609797,0.28323021531105
33.25,-2.75,0,7.76465695833413e-05,0.0618683782716592,0.640745578209559,0.702691602706909,0.263786971569061
33.75,-2.75,0,8.84585030936099e-05,0.0607248898595572,0.62938826084137,0.690201608339945,0.301842123270035
34.25,-2.75,7.29290950592561e-09,0.00268814992159605,0.0497630503028631,0.507315586010615,0.559766801198324,0.265928410490354
34.75,-2.75,0,0.0190957073122263,0.025835824261109,0.245529365539551,0.290460895498594,0.0113869901746511
35.25,-2.75,0,0.0293229042862852,0.0246870235850414,0.223535743852456,0.277545675635338,0.0493476731081804
35.75,-2.75,0,0.0248135533183813,0.0180364239340027,0.159925034145514,0.202775013446808,0.30966341594855
36.25,-2.75,0,0.00248000255596708,0.012977368850261,0.131187988320986,0.146645359198252,0.388908416032791
36.75,-2.75,0,0.00206263767940982,0.0126096931596597,0.129376963277658,0.1440492918094,0.446137070655823
37.25,-2.75,0,0.00189783370830507,0.0107342037993173,0.128212974220514,0.1408450131615,0.222441822290421
37.75,-2.75,0,0.00110200834169518,0.000707456287151823,0.156012012064457,0.157821476459503,0.171887025237083
38.25,-2.75,0,9.12198697064307e-06,0,0.112453688681126,0.112462809930245,0.057636484503746
38.75,-2.75,0,0,0,0.01473255266125,0.01473255266125,0
39.25,-2.75,0,0,0,0.0187135123337309,0.0187135123337309,0.221496884524822
39.75,-2.75,0,0,0,0.090124124288559,0.090124124288559,0.650509893894196
40.25,-2.75,0,0,0,0.0823158433039983,0.0823158433039983,0.303138613700867
40.75,-2.75,0,0,0,0.00360908803219597,0.00360908803219597,0.020772373303771
100.25,-2.75,0,0,0,0.0390852689743042,0.0390852689743042,0.0649727433919907
101.25,-2.75,0,0.00294661055474232,0.0314440739651521,0.196685988704364,0.23107667217652,0.0787581205368042
101.75,-2.75,0,0,0,0.0746691524982452,0.0746691524982452,0.187036179502805
102.25,-2.75,0,0,0,0.0367759258796771,0.0367759258796771,0.13460673391819
102.75,-2.75,0.00188480665674433,0.00637327882771691,0.121597888569037,0.383167916536331,0.513023889064789,0.155982255935669
103.25,-2.75,0,0.00820793739209572,0.0573988364388545,0.538104737798373,0.603711513678233,0.156147544582685
103.75,-2.75,0,0.00837873397395015,0,0.577292444308599,0.585671160618464,0.178013846278191
104.25,-2.75,0.00212210286408663,0.00719943673660358,0.144575379788876,0.430635075767835,0.584532004594803,0.143371058007081
104.75,-2.75,0.00116539579660942,0.0066857762945195,0.0819799703856309,0.462778985500336,0.55261013507843,0.13023142516613
105.25,-2.75,0.00228223926387727,0.00670296548244854,0.16213450829188,0.401662756005923,0.572782474756241,0.122674718499184
105.75,-2.75,0,0.00379265379936745,0.016083206795156,0.248141586283843,0.268017447988192,0.060794356589516
106.25,-2.75,0,0.00820507731599112,0,0.41932825644811,0.427533330519994,0.126451455056667
106.75,-2.75,0,0.00398776474564026,0,0.206476065516472,0.210463834305604,0.0684800297021866
107.75,-2.75,0,0.00738823042872051,0,0.304183669885,0.31157189309597,0.0616244190682967
108.25,-2.75,0,0.00411598104983568,0,0.183805540204048,0.18792150914669,0.0321537367999554
110.25,-2.75,0,0.00287156004924327,0,0.11846255188187,0.121334111193816,0.198307139178117
110.75,-2.75,0,0.00510430185434719,0,0.395777308940887,0.400881620248159,0.15616475045681
111.25,-2.75,0.000670591915453163,0.00381344093475491,0.0407344018419584,0.219994193812211,0.265212629238764,0.177590638399124
111.75,-2.75,0,0.00209258104053636,0.0216376949722568,0.144857222338517,0.168587498863538,0.0614650532603264
112.25,-2.75,0,0.00334268654308592,0,0.221562973161538,0.224905664722125,0.0807602405548096
112.75,-2.75,0,0.00530362562276423,0.010163426430275,0.375344327092171,0.390811378757159,0.148938941458861
113.25,-2.75,0,0.0014958159881644,0,0.0855941680570444,0.0870899846156438,0.0331293679773808
113.75,-2.75,0,0.000792238482002479,0,0.0571811245133479,0.0579733627537886,0.036768068621556
114.25,-2.75,0,0.00333471463915581,0,0.394101877013842,0.397436599930127,0.148737149933974
114.75,-2.75,6.06779460213147e-05,0.00172114074036169,0.0723481565713882,0.33347708384196,0.407607059677442,0.132979333400726
115.25,-2.75,1.09028139074023e-05,0.0016057465710522,0.0845561216274897,0.420318164428075,0.5064909329017,0.137390926480293
115.75,-2.75,0,0.000571303210260036,0,0.205186059077581,0.205757360160351,0.0647812572618326
116.25,-2.75,0,0.000775914487409561,0,0.250788003206253,0.251563923557599,0.0671843128899733
118.75,-2.75,0,6.12129224464297e-05,0,0.0314966584245364,0.03155787140131,0.0489363387227058
