"x","y","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
67.75,37.75,0.144948850572109,0.0536504319558541,0.198599282403787,0.421584189931552
68.25,37.75,0.0579235405971607,0.0103082583053038,0.0682317979633808,0.371396494905154
68.75,37.75,0.397661727666855,0.00790670847054571,0.405568436781565,0.171061066786448
69.25,37.75,0.122082914163669,0.0387747731680671,0.160857688387235,0.325766706466675
69.75,37.75,0.236643054087957,0.117132798458139,0.353775850931803,0.249352652331193
70.25,37.75,0.00157218449627787,0.0742974203079939,0.0758696042001247,0.491190632184346
70.75,37.75,0,0.0671885080635548,0.0671885080635548,0.617371612787247
71.25,37.75,0.000440369658948233,0.0207126721118887,0.0211530414099495,0.607992515961329
71.75,37.75,0.00136962428999444,0.00432689356190773,0.00569651780339579,0.429040590922038
72.25,37.75,8.55360154294734e-05,0.000804219105862103,0.000889755119957651,0.246541016797225
72.75,37.75,7.18112575365618e-06,6.00295906688345e-05,6.72107162245084e-05,0.342926833033562
73.25,37.75,1.95412530350344e-05,0.000159296289105744,0.000178837541898247,0.338696900010109
73.75,37.75,1.91979926360849e-05,0.00016494247143631,0.000184140464989468,0.429878477255503
74.25,37.75,1.40956910096672e-06,1.38008717954108e-05,1.52104409001671e-05,0.360629401604334
74.75,37.75,5.79521933104843e-05,0.000353957339969687,0.000411909533431754,0.478582696119944
75.25,37.75,0,0.0033006935302789,0.0033006935302789,0.822181834777196
75.75,37.75,0,0.00117499951544839,0.00117499951544839,0.850082947810491
76.25,37.75,0,0.014574880246073,0.014574880246073,0.847504065434138
76.75,37.75,0.000196852294417719,0.0193751870654523,0.0195720394141972,0.853383056322734
77.25,37.75,0.114024529357751,0.0250754440824191,0.139099975675344,0.733297252655029
77.75,37.75,0.00307373565932115,0.0404818417193989,0.043555577347676,0.643698702255885
78.25,37.75,0.0204931914495925,0.0239851520396769,0.0444783437997103,0.682620670398076
78.75,37.75,0,0.00450545083731413,0.00450545083731413,0.147237107654413
79.25,37.75,0,8.64492089909762e-26,8.64492089909762e-26,0.294060997168223
79.75,37.75,0.00178743425446252,0.00768010395113379,0.00946753813574711,0.576412363847097
80.25,37.75,0.00172711856042345,0.0452969904989004,0.0470241092145443,0.762588687737783
80.75,37.75,0,2.31078133626994e-05,2.31078133626994e-05,0.293620126446088
81.25,37.75,0,0,0,0.0154252963761489
81.75,37.75,0,0,0,0.195338930686315
82.25,37.75,0,0,0,0.0656832665205002
