"x","y","biofuel_cropland_irrigated","biofuel_cropland_rainfed","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
-29.75,82.75,0,0,0,0,0,0
-29.25,82.75,0,0,0,0,0,0
-28.75,82.75,0,0,0,0,0,0
-28.25,82.75,0,0,0,0,0,0
-27.75,82.75,0,0,0,0,0,0
-27.25,82.75,0,0,0,0,0,0
-26.75,82.75,0,0,0,0,0,0
-26.25,82.75,0,0,0,0,0,0
-25.75,82.75,0,0,0,0,0,0
-25.25,82.75,0,0,0,0,0,0
-24.75,82.75,0,0,0,0,0,0
-24.25,82.75,0,0,0,0,0,0
-23.75,82.75,0,0,0,0,0,0
-23.25,82.75,0,0,0,0,0,0
-22.75,82.75,0,0,0,0,0,0
-22.25,82.75,0,0,0,0,0,0
-21.75,82.75,0,0,0,0,0,0
-21.25,82.75,0,0,0,0,0,0
-88.25,82.25,0,0,0,0,0,0
-87.75,82.25,0,0,0,0,0,0
-86.75,82.25,0,0,0,0,0,0
-86.25,82.25,0,0,0,0,0,0
-85.75,82.25,0,0,0,0,0,0
-85.25,82.25,0,0,0,0,0,0
-84.75,82.25,0,0,0,0,0,0
-84.25,82.25,0,0,0,0,0,0
-83.75,82.25,0,0,0,0,0,0
-83.25,82.25,0,0,0,0,0,0
-82.75,82.25,0,0,0,0,0,0
-82.25,82.25,0,0,0,0,0,0
-81.75,82.25,0,0,0,0,0,0
-81.25,82.25,0,0,0,0,0,0
-80.75,82.25,0,0,0,0,0,0
-80.25,82.25,0,0,0,0,0,0
-79.75,82.25,0,0,0,0,0,0
-79.25,82.25,0,0,0,0,0,0
-78.75,82.25,0,0,0,0,0,0
-78.25,82.25,0,0,0,0,0,0
-77.75,82.25,0,0,0,0,0,0
-77.25,82.25,0,0,0,0,0,0
-76.75,82.25,0,0,0,0,0,0
-76.25,82.25,0,0,0,0,0,0
-75.75,82.25,0,0,0,0,0,0
-75.25,82.25,0,0,0,0,0,0
-74.75,82.25,0,0,0,0,0,0
-74.25,82.25,0,0,0,0,0,0
-73.75,82.25,0,0,0,0,0,0
-73.25,82.25,0,0,0,0,0,0
-72.75,82.25,0,0,0,0,0,0
-72.25,82.25,0,0,0,0,0,0
-71.75,82.25,0,0,0,0,0,0
-71.25,82.25,0,0,0,0,0,0
-70.75,82.25,0,0,0,0,0,0
-70.25,82.25,0,0,0,0,0,0
-69.75,82.25,0,0,0,0,0,0
-69.25,82.25,0,0,0,0,0,0
-68.75,82.25,0,0,0,0,0,0
-68.25,82.25,0,0,0,0,0,0
-67.75,82.25,0,0,0,0,0,0
-67.25,82.25,0,0,0,0,0,0
-66.75,82.25,0,0,0,0,0,0
-66.25,82.25,0,0,0,0,0,0
-65.75,82.25,0,0,0,0,0,0
-65.25,82.25,0,0,0,0,0,0
-64.75,82.25,0,0,0,0,0,0
-64.25,82.25,0,0,0,0,0,0
-63.75,82.25,0,0,0,0,0,0
-63.25,82.25,0,0,0,0,0,0
-62.75,82.25,0,0,0,0,0,0
-62.25,82.25,0,0,0,0,0,0
-61.75,82.25,0,0,0,0,0,0
-61.25,82.25,0,0,0,0,0,0
-59.75,82.25,0,0,0,0,0,0
-58.75,82.25,0,0,0,0,0,0
-58.25,82.25,0,0,0,0,0,0
-57.75,82.25,0,0,0,0,0,0
-57.25,82.25,0,0,0,0,0,0
-56.75,82.25,0,0,0,0,0,0
-56.25,82.25,0,0,0,0,0,0
-55.75,82.25,0,0,0,0,0,0
-55.25,82.25,0,0,0,0,0,0
-54.75,82.25,0,0,0,0,0,0
-54.25,82.25,0,0,0,0,0,0
-53.75,82.25,0,0,0,0,0,0
-53.25,82.25,0,0,0,0,0,0
-52.75,82.25,0,0,0,0,0,0
-52.25,82.25,0,0,0,0,0,0
-51.75,82.25,0,0,0,0,0,0
-51.25,82.25,0,0,0,0,0,0
-50.75,82.25,0,0,0,0,0,0
-50.25,82.25,0,0,0,0,0,0
-49.75,82.25,0,0,0,0,0,0
-49.25,82.25,0,0,0,0,0,0
