"Species";"AUC";"type";"model_type";"taxa"
"Ninox_connivens";0,688560692970985;"Eco";"GBM";"Bird"
"Nyctiphrynus_ocellatus";0,693496399438578;"Eco";"GBM";"Bird"
"Ortygospiza_atricollis";0,693472890870166;"Eco";"GBM";"Bird"
"Otus_brucei";0,694647526180482;"Eco";"GBM";"Bird"
"Parmoptila_rubrifrons";0,487469386170991;"Eco";"GBM";"Bird"
"Passer_cordofanicus";0,610365034778807;"Eco";"GBM";"Bird"
"Passer_simplex";0,589489216470103;"Eco";"GBM";"Bird"
"Peltohyas_australis";0,699942374078162;"Eco";"GBM";"Bird"
"Phylidonyris_albifrons";0,686828149742146;"Eco";"GBM";"Bird"
"Plocepasser_superciliosus";0,676058463375459;"Eco";"GBM";"Bird"
"Ploceus_aurantius";0,646950948322437;"Eco";"GBM";"Bird"
"Ploceus_bicolor";0,680713836098131;"Eco";"GBM";"Bird"
"Ploceus_dorsomaculatus";0,67620313719386;"Eco";"GBM";"Bird"
"Ploceus_melanocephalus";0,634321002149224;"Eco";"GBM";"Bird"
"Ploceus_nigricollis";0,687965740060168;"Eco";"GBM";"Bird"
"Ploceus_ocularis";0,67769335104313;"Eco";"GBM";"Bird"
"Ploceus_superciliosus";0,671754874815241;"Eco";"GBM";"Bird"
"Poeoptera_lugubris";0,676076969090006;"Eco";"GBM";"Bird"
"Pogonornis_bidentatus";0,697591991000201;"Eco";"GBM";"Bird"
"Pterocles_coronatus";0,682035651651335;"Eco";"GBM";"Bird"
"Pterocles_lichtensteinii";0,624368979523396;"Eco";"GBM";"Bird"
"Quelea_erythrops";0,600388097121304;"Eco";"GBM";"Bird"
"Recurvirostra_novaehollandiae";0,664804641756069;"Eco";"GBM";"Bird"
"Rhytipterna_immunda";0,693605749339078;"Eco";"GBM";"Bird"
"Sarothrura_lugens";0,679706396571815;"Eco";"GBM";"Bird"
"Sarothrura_rufa";0,664176649957574;"Eco";"GBM";"Bird"
"Seicercus_tephrocephalus";0,674889591974207;"Eco";"GBM";"Bird"
"Seicercus_valentini";0,656506550753859;"Eco";"GBM";"Bird"
"Selasphorus_platycercus";0,683191379264033;"Eco";"GBM";"Bird"
"Serpophaga_hypoleuca";0,651352139104419;"Eco";"GBM";"Bird"
"Sibirionetta_formosa";0,574504056985343;"Eco";"GBM";"Bird"
"Sitta_pygmaea";0,668032216552585;"Eco";"GBM";"Bird"
"Struthidea_cinerea";0,698165564338809;"Eco";"GBM";"Bird"
"Sturnella_militaris";0,69811676111164;"Eco";"GBM";"Bird"
"Synoicus_adansonii";0,692373288420369;"Eco";"GBM";"Bird"
"Tchagra_minutus";0,67385540260539;"Eco";"GBM";"Bird"
"Torgos_tracheliotos";0,65792355578788;"Eco";"GBM";"Bird"
"Touit_dilectissimus";0,691176917530722;"Eco";"GBM";"Bird"
"Trigonoceps_occipitalis";0,687893210011915;"Eco";"GBM";"Bird"
"Tringa_incana";0,684516675330333;"Eco";"GBM";"Bird"
"Tringa_semipalmata";0,69445313473155;"Eco";"GBM";"Bird"
"Turdoides_caudata";0,67349599437323;"Eco";"GBM";"Bird"
"Turdus_torquatus";0,695868728504786;"Eco";"GBM";"Bird"
"Vanellus_lugubris";0,680452993371877;"Eco";"GBM";"Bird"
"Vidua_funerea";0,692812051888905;"Eco";"GBM";"Bird"
"Xipholena_punicea";0,669572217849726;"Eco";"GBM";"Bird"
"Zonotrichia_atricapilla";0,695741952748007;"Eco";"GBM";"Bird"
"Zoothera_citrina";0,699663084426343;"Eco";"GBM";"Bird"
"Zosterops_chloris";0,68731946237862;"Eco";"GBM";"Bird"
